,recursive_execution_time,recursive_itertools_execution_time,nested_recursive_execution_time,nested_recursive_itertools_execution_time,imperative_execution_time,imperative_itertools_execution_time,fastest_version,fastest_version_time
0,0.002178399998228997,0.004034000012325123,0.0015545999922323972,0.003664200019557029,0.0018619000038597733,0.0010173000046052039,imperative_itertools_execution_time,0.0010173000046052039
1,0.001487400004407391,0.003007799998158589,0.0013185999996494502,0.0029847999976482242,0.0007838000019546598,0.0008481999975629151,imperative_execution_time,0.0007838000019546598
2,0.002007300005061552,0.004136300005484372,0.0011482000118121505,0.002342699997825548,0.0016345999902114272,0.0016729000199120492,nested_recursive_execution_time,0.0011482000118121505
3,0.001952899998286739,0.0021847999887540936,0.0007661999843548983,0.003645199991296977,0.0015684999816585332,0.001628600002732128,nested_recursive_execution_time,0.0007661999843548983
4,0.0015260999789461493,0.002146999991964549,0.000751899991882965,0.0018072999955620617,0.0007646000012755394,0.0007667000172659755,nested_recursive_execution_time,0.000751899991882965
5,0.000979800010100007,0.0025431999820284545,0.001733899989631027,0.0027865000010933727,0.0013482000213116407,0.0014536000089719892,recursive_execution_time,0.000979800010100007
6,0.0016623999981675297,0.0034839999862015247,0.0013417000009212643,0.002657300006831065,0.00076299998909235,0.0014096999948378652,imperative_execution_time,0.00076299998909235
7,0.001874100009445101,0.0030795000202488154,0.0013420999748632312,0.002773099986370653,0.0013475000159814954,0.0015943000034894794,nested_recursive_execution_time,0.0013420999748632312
8,0.000979200005531311,0.00200020000920631,0.0007705999887548387,0.0018151999975088984,0.0007670000195503235,0.0010511000000406057,imperative_execution_time,0.0007670000195503235
9,0.0019496999739203602,0.0020259000011719763,0.0007456000021193177,0.0018184000218752772,0.0016127999988384545,0.0016439000028185546,nested_recursive_execution_time,0.0007456000021193177
10,0.0009649000130593777,0.0029380999912973493,0.0013470000121742487,0.0027902000001631677,0.0007974000182002783,0.0007938999915495515,imperative_itertools_execution_time,0.0007938999915495515
11,0.0009730999881867319,0.003180300001986325,0.00075559999095276,0.0032294999982696027,0.0007401999901048839,0.0007737000123597682,imperative_execution_time,0.0007401999901048839
12,0.0020670000230893493,0.003985299990745261,0.0016121999942697585,0.0036122000019531697,0.0013692000065930188,0.0014509000175166875,imperative_execution_time,0.0013692000065930188
13,0.001102200010791421,0.002511800004867837,0.001347799989162013,0.0027065000031143427,0.0007439999899361283,0.0007933000160846859,imperative_execution_time,0.0007439999899361283
14,0.0009459999855607748,0.0026188000047113746,0.0007510999857913703,0.0018214000156149268,0.0007410000253003091,0.0007667999889235944,imperative_execution_time,0.0007410000253003091
15,0.0009772999910637736,0.002019199979258701,0.0009118000161834061,0.0018555000133346766,0.0007665999874006957,0.000769199978094548,imperative_execution_time,0.0007665999874006957
16,0.0015278999926522374,0.0031197999778669327,0.0010932000004686415,0.0018272000015713274,0.0007648000027984381,0.0007637000235263258,imperative_itertools_execution_time,0.0007637000235263258
17,0.0009895999974105507,0.0019902999920304865,0.0007434999861288816,0.0019258999964222312,0.00074819999281317,0.0007753999962005764,nested_recursive_execution_time,0.0007434999861288816
18,0.0009499999869149178,0.0019973999878857285,0.0007508999842684716,0.0017921999969985336,0.0012292999890632927,0.0016413000121247023,nested_recursive_execution_time,0.0007508999842684716
19,0.0019834999984595925,0.004446600010851398,0.0011380999931134284,0.0017938999808393419,0.0007473999867215753,0.0007698000117670745,imperative_execution_time,0.0007473999867215753
20,0.0009944000048562884,0.002619699982460588,0.0015739999944344163,0.0018436000100336969,0.0007408999954350293,0.0007671000203117728,imperative_execution_time,0.0007408999954350293
21,0.0009726000134833157,0.002019900013692677,0.0007397000154014677,0.0031362999870907515,0.0007379999733529985,0.0007690999773330986,imperative_execution_time,0.0007379999733529985
22,0.0010144999832846224,0.0020158999832347035,0.002080699981888756,0.003599699994083494,0.001618299982510507,0.0016616999928373843,recursive_execution_time,0.0010144999832846224
23,0.002049500006251037,0.002639599988469854,0.0007653000066056848,0.0018265999970026314,0.0007804999768268317,0.0007981000235304236,nested_recursive_execution_time,0.0007653000066056848
24,0.000993699999526143,0.002900499996030703,0.0014567000034730881,0.002974699978949502,0.0013943999947514385,0.0015380000113509595,recursive_execution_time,0.000993699999526143
25,0.0017794000159483403,0.0025934000150300562,0.0007586000137962401,0.0026421000075060874,0.0008118999830912799,0.0013918000040575862,nested_recursive_execution_time,0.0007586000137962401
26,0.000964100006967783,0.002060300001176074,0.000777199980802834,0.0017914999916683882,0.0010667000024113804,0.0007915000023785979,nested_recursive_execution_time,0.000777199980802834
27,0.0009706999990157783,0.0021149000094737858,0.0007754999969620258,0.0019028999959118664,0.0016636999789625406,0.002274099999340251,nested_recursive_execution_time,0.0007754999969620258
28,0.0009518000006210059,0.00206679999246262,0.0007661000126972795,0.001775300013832748,0.0008218000002671033,0.0007698000117670745,nested_recursive_execution_time,0.0007661000126972795
29,0.0009674000029917806,0.002016899990849197,0.001301699987379834,0.0018440000130794942,0.00074230000609532,0.0014395999896805733,imperative_execution_time,0.00074230000609532
30,0.0009729999874252826,0.002447699982440099,0.0016469999973196536,0.006886799994390458,0.0034362000005785376,0.001840399985667318,recursive_execution_time,0.0009729999874252826
31,0.0019960000063292682,0.0037561999924946576,0.0019066999957431108,0.002882800006773323,0.0020366999960970134,0.0007712999940849841,imperative_itertools_execution_time,0.0007712999940849841
32,0.000950200017541647,0.004418700002133846,0.0007521000225096941,0.004601599997840822,0.0019359999860171229,0.002193199994508177,nested_recursive_execution_time,0.0007521000225096941
